"pid","Date","NewRank","VS","Result","Tournament_Name"
"Gatts",17626,2335.0721551402,"Limaj","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Limaj",17626,2064.9278448598,"Gatts","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokepen",17626,2384.78229436811,"Gatts","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Gatts",17626,2198.12833728674,"Pokepen","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pokalink",17626,2335.0721551402,"8Man","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"8Man",17626,2064.9278448598,"Pokalink","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Gyromight",17626,2335.0721551402,"JC","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"JC",17626,2064.9278448598,"Gyromight","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Katsuki",17626,2335.0721551402,"TTO","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"TTO",17626,2064.9278448598,"Katsuki","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"dare2dream",17626,2335.0721551402,"Enigma","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Enigma",17626,2064.9278448598,"dare2dream","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kila",17626,2335.0721551402,"Vaelith","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Vaelith",17626,2064.9278448598,"Kila","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"JoJoDaHoBo",17626,2335.0721551402,"CoRn","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"CoRn",17626,2064.9278448598,"JoJoDaHoBo","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Slow Dancer",17626,2335.0721551402,"Kavi","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kavi",17626,2064.9278448598,"Slow Dancer","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Pandarian",17626,2335.0721551402,"Umai","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Umai",17626,2064.9278448598,"Pandarian","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Yayzors",17626,2335.0721551402,"Kame","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Kame",17626,2064.9278448598,"Yayzors","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"MD4",17626,2335.0721551402,"Wriggle","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Wriggle",17626,2064.9278448598,"MD4","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Egg",17626,2335.0721551402,"Jitio","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Jitio",17626,2064.9278448598,"Egg","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Duwang",17626,2335.0721551402,"Haushinka","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Haushinka",17626,2064.9278448598,"Duwang","Loss","WGA Smash Spring PR #1 (SupPort Priority 3!)"
"Mika",17626,2335.0721551402,"Nathan Pineapple","Win","WGA Smash Spring PR #1 (SupPort Priority 3!)"
