"","pid","rank","Date","tournament"
"1","test",0,0,"test"
"2","Pyreeze",2571.29748609081,17728,"EloTest"
"3","Slow Dancer",2337.73275955867,17728,"EloTest"
"4","Snickledorf",2231.10467438231,17728,"EloTest"
"5","GAB",2171.1183107964,17728,"EloTest"
"6","Mika",1962.19261852166,17728,"EloTest"
"7","Kai",1983.79982729172,17728,"EloTest"
"8","Pyreeze",2660.82999926986,17728,"EloTestB"
"9","Slow Dancer",2372.08496734062,17728,"EloTestB"
"10","Snickledorf",2180.62272435195,17728,"EloTestB"
"11","Mika",2175.81951107456,17728,"EloTestB"
"12","Kai",1859.45061062846,17728,"EloTestB"
"13","JJ",1954.38725690431,17728,"EloTestB"
