"Tournament","date","player1_id","player2_id","player1_score","player2_score","url"
"Ultimate Singles",2019-03-23,"Jag"," 420xxx69_Yamage_69xxx420",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Lunar","Andyh",0,-1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Queby","Quack",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Rollz","Adity",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Atom","Bayani",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Nik","SimCard",0,-1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Cephy","Lakky",-1,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Slurpee96","SPRX97",0,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Pandarian"," 420xxx69_Yamage_69xxx420",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"IceGoat","Majora",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," celestial","Lunar",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Carnage"," DBSammy",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"SmashBrosFan16","Quack",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Kyros","DreadlockJesus",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Everest","Rollz",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Sweets","MostJuanTed",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Keoneon"," Atom",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Phantom","Ponco",0,-1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Hastee"," Nik",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Frogtaco","AM",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Shinkou","Lakky",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"operator.","Soniclaw",-1,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Trident","SPRX97",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," BlanketMan","JAM",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Pandarian","IceGoat",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," celestial","Carnage",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"SmashBrosFan16"," Kyros",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Everest"," Sweets",2,1,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Keoneon","Phantom",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Hastee","Frogtaco",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Shinkou","Soniclaw",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23," Trident"," BlanketMan",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"Pandarian"," celestial",2,0,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
"Ultimate Singles",2019-03-23,"SmashBrosFan16"," Everest",1,2,"https://smash.gg/tournament/orbitar-67/event/ultimate-singles"
