"screen_name","alias"
"Mika","Mikai"
"Pokepen","Pokepen"
"Pandarian","AEC | Pandarian"
"Duwang","Duwang"
"dare2dream","dare2dream"
"JoJoDaHoBo","JoJoDaHoBo"
"Snickeldorf","Snickeldorf"
"MD4","WeS | MD4"
"Gyromight","WeS | Gyromight!"
"Katsuki","Katsuki"
"Jitio","Jitio"
"Dylan","WeS | Dylan"
"Slow Dancer","WeS | Slow Dancer"
"Kila","Kila"
"Mika","WeS | Mika"
"Yayzors","WeS | Yayzors"
"8Man","8Man"
"Pokalink","WeS | Pokalink"
"Kame","WeS | Kame"
"Nathan Pineapple","Nathan Pineapple"
"Vaelith","AEC | Vaelith"
"Kavi","Kavi"
"Maryu","MaRyu"
"Egg","Egg"
"TTO","TTO"
"JC","StS | JC"
"Wriggle","HENTAI PICKLE WRIG"
"Smash Detour","Smash Detour"
"CoRn","CoRn"
"Enigma","Enigma"
"Haushinka","Haushinka"
"Umai","Umai"
"Gatts","Gatts"
"Limaj","Limaj"
"Pokepen","HNTI | Pokepen"
"Pandarian","AEC | HNTI | #Familky | Pandarian"
"Duwang","Duwangathang"
"Slow Dancer","WeS | HNTI | #Familky | Oppai Smasher"
"Gyromight","WeS | Gyromght!!"
"Qphex","Qphex"
"AQT","WeS | AQT"
"Cyronna","WeS | Cyrrona"
"Nathan Pineapple","Nathan PEEEEEEEEEEEENARD"
"Pferschaw","DtD | Pferschaw"
"Sweets","LG | Sweets"
"Ro","Ro"
"JC","STS | JC"
"Kudaketa","Kudaketa"
"Wriggle","HNTI | Familky | The Biggest Wriggle"
"Enigma","Enigma"
"AZURE","AZURE"
"TamashaSmash","TamashaSmash"
"Pandarian","HNTI | Pandarian"
"Nathan Pineapple","0000000-2 | Nathan [insert fruit]"
"Wriggle","HNTI | wriggle~"
"JC","RETIRED | JC"
"Vinnie (not the Tristate one)","Vinnie (not the Tristate one)"
"Android?","Android?"
"ETON","ETON"
"Pyreeze","Pyreeze"
"Pyreeze","AEC| Pyreeze"
"Gyromight","Gyromight"
"Gyromight","Scott"
"Mika","Mika"
"Slow Dancer","Slow Dancer"
"Slow Dancer","SoWa| Slow Dancer"
"Ian","Ian"
"Ian","IAN"
"Vaelith","Vaelith"
"Vaelith","AEC|Wyv| Vaelith"
"Katsuki","DSG| Katsuki"
"X","X"
"X","WW| X"
"LEWD","LEWD"
"LEWD","LEUD"
"ShadowMarth","ShadowMarth"
"derpydtw","derpydtw"
"Duel","Duel"
"Mentat","Mentat"
"OTDE","OTDE"
"QrowJin","QrowJin"
"DesHex","DesHex"
"Zen Gura","Zen Gura"
"BG3","BG3"
"BG3","THATGUY|WW| BG3"
"Jarbo","Jarbo"
"Momeeze","Momeeze"
"Lie Ren","Lie Ren"
"Mars","Mars"
"Sinatra","Sinatra"
"GAB","GAB"
"Slow Dancer","UW| Slow Dancer"
"ChadDrawsThings","ChadDrawsThings"
"ShadowMarth","ShadowMarthJTW"
"Lie Ren","Riku"
"derpydtw","SoWa| derpydtw"
"DevilHunterSSS","DevilHunterSSS"
"GAB","Gummy"
"derpydtw","SoWa| derpy dtw"
"Michael","Michael"
"Vaelith","AEC| Vaelith"
"Swarm7","Swarm7"
"DarkSol","DarkSol"
"Shinkou","Shinkou"
"DAMN","DAMN"
"DAMN","DAMN."
"Pandarian","Pandarian"
"Pandarian","1F1N| Pandarian"
"Yope","Yope"
"Scott","Yolo Swag (Scott)"
"Katsuki","SoWa| Katsuki"
"ChadDrawsThings","@ChadDrawsThings"
"BG3","THATGUY| BG3"
"Ellen Page","Ellen Page"
"ShadowMarth","Late Entry| GoG ShadowMarthJTW"
"Almate","Almate"
"Duel","SoWa| Duel"
"Good Loser Chaz","Good Loser Chaz"
"Kyx","Kyx"
"Black Knight","Black Knight"
"Mr. Worldwide","Mr. Worldwide"
"Katsuki","Adrian the weeaboo"
"derpydtw","SoWa| a furry (devan)"
"MasterCJ","MasterCJ"
"Urameshi","Urameshi"
"Katsuki","Katsu"
"ChadDrawsThings","ChadDrawThings"
"Qrowjin","Qrowjin"
"LEUD","Leud"
"Mr.Worldwide","Mr.Worldwide"
"Mr.Worldwide","Mr Worldwide"
"Xara","Xara"
"MasterChef420","MasterChef420"
"Pyreeze","ya boi (Pyreeze)"
"Snickledorf","Snickledorf"
"Snickledorf","some boi (Snickeldorf)"
"Katsuki","Katsu boi"
"Vaelith","Black Knight boi (Vaelith)"
"Hellviper","Hellviper"
"Scott","ScottCloudMasterXX"
"derpydtw","DerpyDTW"
"Duel","Duelfreak"
"Tstapp","Tstapp"
"Pyreeze","AEC | Pyreeze"
"Dicklefork69","Dicklefork69"
"Dood Ironblayde","Dood Ironblayde"
"Atlas","Atlas"
"Zee","Zee"
"Zaitai","Zaitai"
"Pyreeze","AEC | Pyreeze (Mii Gunner/ Puff)"
"derpydtw","D-van"
"Zach","Zach"
"3","3"
"1^","1^"
"Kai","Kai"
"JJ","JJ"
